GID,SMILES,MMOL
43,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,5.3291771773
44,Clc1ccccc1c2nnc(c3ccccc3Cl)nn2,4.1806220184
44,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl,4.2436059109
45,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,3.6055319264
45,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,4.0914271054
45,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,4.3407141034
46,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],3.1399087936
46,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],2.935788811
47,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,4.5447949422
47,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,5.5447949422
48,FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,3.9233464254
48,FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,2.5254064168
49,CCSC(=O)N1CCCCCC1,4.1019882374
49,CCSC(=O)N1CCCCCC1,4.9715133002
50,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,6.1741385728
50,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,5.9922949849
51,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,4.4588688485
51,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,4.4674690203
52,c(cccc1)(c1)C=C,3.69543631
52,c(cccc1)(c1)C=C,2.5628107448
52,c(cccc1)(c1)C=C,2.4155956134
53,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,6.1811855526
53,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,5.9135793124
53,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,4.8343980664
53,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,6.2146093081
54,OCCO,2.3949266233
54,C(CO)O,2.1908066406
54,C(CO)O,1.4918366363
54,C(CO)O,1.8290788046
54,OCCO,1.7928666319
55,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,5.3072756271
55,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,4.7199388926
56,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],3.3734044639
56,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],3.3241864412
57,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,2.8221212986
57,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,4.521091303
58,O=C(NC(=O)c(c(F)ccc1)c1F)Nc(ccc(c2)Cl)c2,4.5892278755
58,O=C(NC(=O)c(c(F)ccc1)c1F)Nc(ccc(c2)Cl)c2,4.6002232598
58,O=C(NC(=O)c(c(F)ccc1)c1F)Nc(ccc(c2)Cl)c2,4.6472198225
59,O1C(=O)C(O)=C(O)C1C(O)CO,1.7613766285
59,OCC(O)C1C(O)=C(O)C(=O)O1,2.0543678217
60,O=C(O)C(Cl)(Cl)C,3.7054539997
60,CC(C(=O)O)(Cl)Cl,3.4562708424
61,CCCCCCCCc1cc(N(=O)(=O))c(OC(=O)C=CC)c(c1)N(=O)(=O),3.8625999736
61,CCCCCCCCc1cc(N(=O)(=O))c(OC(=O)C=CC)c(c1)N(=O)(=O),3.7553900039
62,COP(=O)(N)SC,5.1953743118
62,COP(N)(=O)SC,6.1496168212
62,COP(N)(=O)SC,5.6872188233
63,C1=CC(=CC=C1C(C#N)C2=C(C=CC(=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,4.4341833605
63,C1=CC(=CC=C1C(C#N)C2=C(C=CC(=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,4.2485467835
64,CCc1cccc(CC)c1N(COC)C(=O)CCl,4.2548977242
64,CCc1cccc(CC)c1N(COC)C(=O)CCl,4.2848609476
65,O=P(O)(O)CCCl,2.9837585577
65,O=P(O)(O)CCCl,2.510514958
65,O=P(O)(O)CCCl,4.0806685707
66,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,4.4717664757
66,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,4.6936152253
67,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2(=O),4.4637200327
67,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2(=O),4.3668100197
68,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.3867647072
68,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,5.3005785596
69,S=P(OCC)(Sc1ccccc1)CC,5.192858917
69,CCOP(=S)(CC)SC1=CC=CC=C1,4.6925459996
70,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,3.9253354045
70,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,4.0502741412
71,N(C(=S)SSC(N(C)C)=S)(C)C,4.2049025996
71,N(C(=S)SSC(N(C)C)=S)(C)C,4.3202960183
71,N(C(=S)SSC(N(C)C)=S)(C)C,4.6430065323
71,N(C(=S)SSC(N(C)C)=S)(C)C,4.3018126126
72,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,5.0868345341
72,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,4.3448954564
73,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.8705257263
73,COP(=S)(OC)Oc1ccc(SC)c(C)c1,5.5872244976
73,COP(=S)(OC)Oc1ccc(SC)c(C)c1,5.7913444803
74,O=P(OC)(OC)OC=C(Cl)Cl,4.9826167629
74,COP(=O)(OC)OC=C(Cl)Cl,5.011906139
75,CCC(=O)Nc1ccc(Cl)c(Cl)c1,4.037585564
75,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.4578019674
76,C1CNC(=S)N1,5.6475451411
76,N(C(=S)NC1)C1,5.6113329684
76,N(C(=S)NC1)C1,4.9123629641
77,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],3.9562889372
77,Clc1cc(C(F)(F)F)ccc1Oc2cc(OCC)c(N(=O)(=O))cc2,4.5583489285
78,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,3.4543753738
78,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,4.0379519594
79,C1=NNC(=N1)N,4.5267524877
79,C1=NNC(=N1)N,4.2257224921
80,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,6.289273484
80,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,7.192363471
81,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,3.5634357799
81,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,3.8644657756
82,O=C(NC)CSP(OC)(OC)=S,5.9623834318
82,O=C(NC)CSP(OC)(OC)=S,4.6613534361
83,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,4.0700360038
83,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,3.4110711611
84,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl,4.0444494281
84,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,6.1516593978
85,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,4.280188915
85,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,4.2871938166
86,c(cccc1)(c1)C(C)C,2.4152320688
86,c(cccc1)(c1)C(C)C,2.5600460505
87,CCCN(CCC)C(=O)SCC,4.3229499948
87,CCCN(CCC)C(=O)SCC,3.8792524956
88,c1ccc2nc(NC(=O)OC)n(C(=O)NCCCC)c2c1,3.4021757041
88,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,3.0649335358
89,ClCCl,3.2301043125
89,ClCCl,3.2082537351
90,O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,3.7786556076
90,O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,3.8366475546
91,CC1=C(C=CC=C1COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)C3=CC=CC=C3,4.9272346013
91,c1ccccc1c2c(C)c(COC(=O)C3C(C)(C)C3C=C(Cl)C(F)(F)F)ccc2,4.9272346013
91,c1ccccc1c2c(C)c(COC(=O)C3C(C)(C)C3C=C(Cl)C(F)(F)F)ccc2,4.7231146186
92,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.76466896
92,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.8008811327
92,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,4.7915411064
92,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.5605489774
92,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,4.861578973
93,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,4.1105492226
93,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,3.5255225706
94,c1cc(Cl)cc(Cl)c1C(OCC=C)Cn2cncc2,3.8709592363
94,c1cc(Cl)cc(Cl)c1C(OCC=C)Cn2cncc2,4.2969279686
