SMILES,LOAEL,Dataset
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.0012202,mazzatorta
ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.0012831,mazzatorta
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)OCC,0.001442,mazzatorta
CCOP(=S)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,0.0014476,mazzatorta
CCOc1cc(nc(n1)CC)OP(=S)(OC)OC,0.0015396,mazzatorta
COC(=O)C=C(OP(=O)(OC)OC)C,0.0015615,mazzatorta
CSc1ccc(cc1C)OP(=S)(OC)OC,0.0016168,mazzatorta
COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,0.0016592,mazzatorta
ClC1C2(Cl)C3C4C5C1(Cl)C(C2(Cl)C5C3C1C4O1)(Cl)Cl,0.0018377,mazzatorta
CNC(=O)CCSCCSP(=O)(OC)OC,0.0018793,mazzatorta
CNC(=O)C=C(OP(=O)(OC)OC)C,0.0020165,mazzatorta
COP(=O)(SC)N,0.0020549,mazzatorta
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.0022053,mazzatorta
S=C1NCCN1,0.0022514,mazzatorta
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)C=CC=C3CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](CC=C2C)O[C@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,0.0022907,mazzatorta
S=C1NCCN1,0.0024472,mazzatorta
CSc1ccc(cc1C)OP(=S)(OC)OC,0.0025869,mazzatorta
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.0026461,mazzatorta
COC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F)C,0.0026615,mazzatorta
COC1CC(OC2C(C)C=CC=C3COC4C3(O)C(C=C(C4O)C)C(=O)OC3CC(CC=C2C)OC2(C3)C=CC(C(O2)C(C)C)C)OC(C1OC1CC(OC)C(C(O1)C)NC(=O)C)C,0.0027775,mazzatorta
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,0.0028524,mazzatorta
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,0.0029166,mazzatorta
c1ccn2c(c1)c1ccccn1CC2,0.0029334,mazzatorta
c1ccn2c(c1)c1ccccn1CC2,0.0029848,mazzatorta
CCCCSP(=O)(SCCCC)SCCCC,0.0039744,mazzatorta
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.0041345,mazzatorta
CCOP(=S)(Oc1ncn(n1)c1ccccc1)OCC,0.0041492,mazzatorta
CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,0.0041717,mazzatorta
Clc1nc(nc(n1)Cl)Nc1ccccc1Cl,0.0041739,mazzatorta
Clc1cccc(n1)C(Cl)(Cl)Cl,0.0043308,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,0.0045112,mazzatorta
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC,0.0046862,mazzatorta
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,0.0049286,mazzatorta
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.0049447,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,0.0049485,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,0.004971,mazzatorta
CCN(C(=O)C(=C(OP(=O)(OC)OC)C)Cl)CC,0.0050052,mazzatorta
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,0.0051933,mazzatorta
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0.0052019,mazzatorta
COP(=O)(OC(C(Br)(Cl)Cl)Br)OC,0.0052523,mazzatorta
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.0052922,mazzatorta
CCOP(=S)(SCn1c(=O)oc2c1ccc(c2)Cl)OCC,0.0054376,mazzatorta
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,0.0056016,mazzatorta
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,0.005604,mazzatorta
Fc1ccc(cc1)[Si](c1ccc(cc1)F)(Cn1cncn1)C,0.0063413,mazzatorta
COC(=O)Nc1nc2c([nH]1)cc(cc2)S(=O)c1ccccc1,0.0063422,mazzatorta
ClCC(N1C(=O)c2c(C1=O)cccc2)SP(=S)(OCC)OCC,0.0063477,mazzatorta
COP(=O)(SC)N,0.0063771,mazzatorta
CCP(=S)(Sc1ccccc1)OCC,0.0064142,mazzatorta
COc1sc(=O)n(n1)CSP(=S)(OC)OC,0.0066153,mazzatorta
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,0.0067479,mazzatorta
CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C,0.0067481,mazzatorta
O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,0.0067532,mazzatorta
COC(=O)N(C(=O)N1COC2(C(=N1)c1ccc(cc1C2)Cl)C(=O)OC)c1ccc(cc1)OC(F)(F)F,0.0068203,mazzatorta
CCOP(=S)(SCSC(C)(C)C)OCC,0.0069341,mazzatorta
Clc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.0069445,mazzatorta
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.0070905,mazzatorta
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.0071266,mazzatorta
Cc1nn(c(c1C=NOCc1ccc(cc1)C(=O)OC(C)(C)C)Oc1ccccc1)C,0.0073074,mazzatorta
Fc1ccc(cc1)[Si](c1ccc(cc1)F)Cn1cncn1,0.0076575,mazzatorta
CCCCOC(=O)C(Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)C,0.0078255,mazzatorta
Fc1ccc(cc1)C(c1ccccc1Cl)(c1cncnc1)O,0.007943,mazzatorta
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,0.0081305,mazzatorta
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,0.0081878,mazzatorta
Clc1ccc(cc1)OS(=O)(=O)c1ccc(cc1)Cl,0.0082464,mazzatorta
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,0.0088055,mazzatorta
CSC(=O)c1c(nc(c(c1CC(C)C)C(=O)SC)C(F)(F)F)C(F)F,0.009043,mazzatorta
COP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OC,0.0093014,mazzatorta
COP(=O)(OC=C(Cl)Cl)OC,0.0097296,mazzatorta
CCOC(=O)C(Oc1ccc(cc1)Oc1cnc2c(n1)ccc(c2)Cl)C,0.0099248,mazzatorta
c1scc(n1)c1nc2c([nH]1)cccc2,0.009938,mazzatorta
CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C,0.010036,mazzatorta
FC(c1ccc(cc1)C=CC(=NN=C1NCC(CN1)(C)C)C=Cc1ccc(cc1)C(F)(F)F)(F)F,0.010112,mazzatorta
COP(=O)(OC=C(Cl)Cl)OC,0.010408,mazzatorta
CCSC(=O)N1CCCCCC1,0.010678,mazzatorta
CCOC(=O)c1cn2nc(cc2nc1C)OP(=S)(OCC)OCC,0.010713,mazzatorta
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1c(F)c(F)c(c(c1F)F)C,0.010986,mazzatorta
CCCSP(=O)(SCCC)OCC,0.011141,mazzatorta
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,0.011824,mazzatorta
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,0.011824,mazzatorta
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)OCC,0.012017,mazzatorta
S=C1NCCN1,0.012236,mazzatorta
Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,0.012288,mazzatorta
Cn1ccc(cc1)c1ccn(cc1)C,0.012988,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)OC(F)F)C(C)C,0.01329,mazzatorta
CSc1ccc(cc1C)OP(=S)(OC)OC,0.013473,mazzatorta
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,0.01354,mazzatorta
COP(=O)(NC(=O)C)SC,0.013649,mazzatorta
CNP(=O)(Oc1ccc(cc1Cl)C(C)(C)C)OC,0.013712,mazzatorta
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.013754,mazzatorta
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.013816,mazzatorta
CCN(C(=O)SCC)C1CCCCC1,0.01393,mazzatorta
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC1CC1,0.014397,mazzatorta
CC(Oc1cc(c(cc1Cl)Cl)n1nc(oc1=O)C(C)(C)C)C,0.014483,mazzatorta
N#Cc1c(Cl)cccc1Cl,0.014534,mazzatorta
ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,0.014642,mazzatorta
CCCCC(c1ccc(cc1Cl)Cl)(Cn1cncn1)O,0.014958,mazzatorta
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,0.015043,mazzatorta
N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl,0.015081,mazzatorta
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.015817,mazzatorta
ClCC1CN(C(=O)C1Cl)c1cccc(c1)C(F)(F)F,0.01602,mazzatorta
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.016161,mazzatorta
BrC1COC(C1)(Cn1cncn1)c1ccc(cc1Cl)Cl,0.017185,mazzatorta
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.017192,mazzatorta
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.01727,mazzatorta
O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,0.018918,mazzatorta
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,0.019057,mazzatorta
Cn1ccc(cc1)c1ccn(cc1)C,0.0191,mazzatorta
OC(=O)C(CCP(=O)(O)C)N,0.019323,mazzatorta
CCN(C(=O)SCc1ccc(cc1)Cl)CC,0.019396,mazzatorta
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,0.019912,mazzatorta
OC(=O)COc1ccc(cc1C)Cl,0.019938,mazzatorta
N#Cc1sc2=c(sc1C#N)c(=O)c1c(c2=O)cccc1,0.020248,mazzatorta
CCP(=S)(Sc1ccccc1)OCC,0.020298,mazzatorta
ClC=C,0.020801,mazzatorta
Clc1cccc(c1)c1ccccc1,0.021203,mazzatorta
CNC(=O)CSP(=S)(OC)OC,0.02181,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,0.022531,mazzatorta
CNC(=O)Oc1cccc2c1OC(C2)(C)C,0.022599,mazzatorta
OC(=O)COc1ccc(cc1Cl)Cl,0.022621,mazzatorta
CN(C(=S)SSC(=S)N(C)C)C,0.022751,mazzatorta
CNC(=O)ON=C(C(=O)N(C)C)SC,0.022804,mazzatorta
COC(=O)N(c1ccccc1COc1ccn(n1)c1ccc(cc1)Cl)OC,0.023207,mazzatorta
OC(COc1cccc2c1c1ccccc1[nH]2)CNC(C)C,0.02346,mazzatorta
CCNc1nc(NCC)nc(n1)Cl,0.024795,mazzatorta
CCOC(=O)C(Oc1ccc(cc1)Oc1nc2c(o1)cc(cc2)Cl)C,0.024877,mazzatorta
CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C,0.025091,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,0.025106,mazzatorta
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,0.025741,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,0.02575,mazzatorta
CCNc1nc(NCC)nc(n1)Cl,0.026282,mazzatorta
CC(OC(=O)C(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)O)C,0.026532,mazzatorta
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,0.026813,mazzatorta
CCOC(=O)c1ccccc1C1=c2cc(C)c(cc2=[O]c2c1cc(C)c(c2)NCC)NCC,0.027054,mazzatorta
CSCC(=NOC(=O)NC)C(C)(C)C,0.027483,mazzatorta
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,0.027507,mazzatorta
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.027631,mazzatorta
CCOc1cc(ccc1N(=O)=O)Oc1ccc(cc1Cl)C(F)(F)F,0.027647,mazzatorta
[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C,0.027758,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(C(F)(F)F)Cl,0.027787,mazzatorta
CSC(=NOC(=O)N(SN(C(=O)ON=C(SC)C)C)C)C,0.028211,mazzatorta
COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,0.028362,mazzatorta
CC(N1C(=NC(C)(C)C)SCN(C1=O)c1ccccc1)C,0.028484,mazzatorta
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,0.028524,mazzatorta
N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,0.028783,mazzatorta
CCOC(=O)C(Cc1cc(c(cc1Cl)F)n1nc(n(c1=O)C(F)F)C)Cl,0.029113,mazzatorta
Nc1ncn[nH]1,0.029734,mazzatorta
COC(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)OC,0.030124,mazzatorta
COc1nc(C)nc(n1)N(C(=O)NS(=O)(=O)c1ccccc1C(=O)OC)C,0.031614,mazzatorta
Cc1ccc2c(c1)nc1c(n2)sc(=O)s1,0.032011,mazzatorta
CC(C(=O)O)Oc1cc(Cl)c(cc1Cl)Cl,0.032281,mazzatorta
CCC1CCCC(OC2CCC(C(O2)C)N(C)C)C(C)C(=O)C2C(CC(=O)O1)C1CCC3C(C1C2)CC(C3)OC1CC(C)C(C(C1OC)OC)OC,0.032697,mazzatorta
CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1,0.033185,mazzatorta
Clc1ccc(c(c1)Cl)C1(OCCO1)Cn1cncn1,0.033318,mazzatorta
CCOCn1c(c2ccc(cc2)Cl)c(c(c1C(F)(F)F)Br)C#N,0.033365,mazzatorta
N#Cc1sc2=c(sc1C#N)c(=O)c1c(c2=O)cccc1,0.033747,mazzatorta
CCCCC(c1ccc(cc1)Cl)(Cn1cncn1)C#N,0.033936,mazzatorta
CCCCC(c1ccc(cc1)Cl)(Cn1cncn1)C#N,0.034075,mazzatorta
CN(C=Nc1ccc(cc1C)C)C=Nc1ccc(cc1C)C,0.034082,mazzatorta
ClC(C(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl)Cl,0.034378,mazzatorta
CN(C=Nc1ccc(cc1C)C)C=Nc1ccc(cc1C)C,0.034764,mazzatorta
CCCSP(=S)(Oc1ccc(cc1)SC)OCC,0.035665,mazzatorta
N#CC(c1c(Cl)ccc(c1Cl)n1ncc(=O)[nH]c1=O)c1ccc(cc1)Cl,0.036797,mazzatorta
CC(Cc1ccccc1)N,0.036981,mazzatorta
CCN(c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O)CC(=C)C,0.037508,mazzatorta
Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,0.037546,mazzatorta
CC(OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1)C,0.037735,mazzatorta
OC(=O)C(Oc1ccc(cc1Cl)Cl)C,0.038287,mazzatorta
CC(C(c1cncnc1)(c1ccc(cc1)OC(F)(F)F)O)C,0.038746,mazzatorta
OC(=O)COc1cc(Cl)c(cc1Cl)Cl,0.039142,mazzatorta
CCOP(=S)(Oc1nn(c(n1)Cl)C(C)C)OCC,0.039842,mazzatorta
CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,0.041029,mazzatorta
CCN(C(=O)C(=C(OP(=O)(OC)OC)C)Cl)CC,0.041043,mazzatorta
CNC(=O)Oc1cc(C)c(c(c1)C)SC,0.041277,mazzatorta
ClC(C(SN1C(=O)C2C(C1=O)CC=CC2)(Cl)Cl)Cl,0.042972,mazzatorta
O=C1OC(C(=O)N1Nc1ccccc1)(C)c1ccc(cc1)Oc1ccccc1,0.044873,mazzatorta
[O-][As](=O)([O-])[O-],0.04499,mazzatorta
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,0.045196,mazzatorta
C=CCC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)C=C(C)C,0.045634,mazzatorta
ClCC=CCl,0.045958,mazzatorta
CCOC(=O)Cn1c(=O)sc2c1c(Cl)ccc2,0.046003,mazzatorta
Nc1ccc(cc1)Cl,0.047032,mazzatorta
CCCN(C(=O)SCC)CCC,0.047539,mazzatorta
CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.047558,mazzatorta
[O-][Br](=O)=O,0.047693,mazzatorta
CN(C(=S)SSC(=S)N(C)C)C,0.04783,mazzatorta
CON(C(=O)Nc1ccc(cc1)Br)C,0.048244,mazzatorta
Cc1cccc(c1O)C,0.049114,mazzatorta
CN(C(=S)SSC(=S)N(C)C)C,0.04991,mazzatorta
COC(=O)Nc1nc2c([nH]1)cc(cc2)Sc1ccccc1,0.050109,mazzatorta
C=CCOC(c1ccc(cc1Cl)Cl)Cn1cncc1,0.050475,mazzatorta
CCSC(CC1CC(=O)C(C(=O)C1)C(=NOCC)CCC)C,0.050568,mazzatorta
CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,0.051619,mazzatorta
Clc1ccc(cc1)CCC(C(C)(C)C)(Cn1cncn1)O,0.051654,mazzatorta
CNC(=O)Oc1cc(C)c(c(c1)C)C,0.051749,mazzatorta
Cc1ccc(cc1)N(S(=O)(=O)N(C)C)SC(Cl)(Cl)F,0.051835,mazzatorta
COCN(c1c(CC)cccc1CC)C(=O)CCl,0.051897,mazzatorta
CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,0.052458,mazzatorta
O=N(=O)c1ccc(c(c1)N)C,0.052579,mazzatorta
O=C1N(c2cc(Cl)cc(c2)Cl)C(=O)C2(C1(C)C2)C,0.052791,mazzatorta
NC(=NCCCCCCCCNCCCCCCCCN=C(N)N)N,0.053436,mazzatorta
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,0.053983,mazzatorta
C#CCOS(=O)OC1CCCCC1Oc1ccc(cc1)C(C)(C)C,0.054213,mazzatorta
CCOc1ccc2c(c1)C(=CC(N2)(C)C)C,0.055221,mazzatorta
COCN(c1c(CC)cccc1CC)C(=O)CCl,0.055604,mazzatorta
O=C(c1ccc(cc1S(=O)(=O)C)C(F)(F)F)c1cnoc1C1CC1,0.055661,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,0.055663,mazzatorta
CCOC(=O)COC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)C(F)(F)F,0.055835,mazzatorta
N#CC(c1c(Cl)ccc(c1Cl)n1ncc(=O)[nH]c1=O)c1ccc(cc1)Cl,0.056423,mazzatorta
CNC(=O)Oc1cccc(c1)N=CN(C)C,0.056496,mazzatorta
CCOC(=O)C(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)O,0.056583,mazzatorta
Clc1ccccc1c1nnc(nn1)c1ccccc1Cl,0.057068,mazzatorta
CN(C(CN1c2ccccc2Sc2c1cccc2)C)C,0.058365,mazzatorta
Nc1ncn[nH]1,0.059467,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,0.059538,mazzatorta
CC(OC(=O)C(c1ccc(cc1)Br)(c1ccc(cc1)Br)O)C,0.060731,mazzatorta
CNC(=O)ON=C(SC)C,0.061648,mazzatorta
CNc1cnn(c(=O)c1Cl)c1cccc(c1)C(F)(F)F,0.061745,mazzatorta
CCNc1nc(SC)nc(n1)NC(C)(C)C,0.062149,mazzatorta
CN(C(=S)SSC(=S)N(C)C)C,0.062387,mazzatorta
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],0.062458,mazzatorta
COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,0.063028,mazzatorta
ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,0.063892,mazzatorta
CC(C1(C)N=C(NC1=O)c1nc2ccccc2cc1C(=O)O)C,0.064239,mazzatorta
COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccsc1C(=O)OC,0.064534,mazzatorta
O=C(N(C)C)Nc1cccc(c1)C(F)(F)F,0.064599,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(c(c1F)Cl)F,0.065598,mazzatorta
CCCCN(SN(C(=O)Oc1cccc2c1OC(C2)(C)C)C)CCCC,0.065695,mazzatorta
Clc1ccccc1c1nnc(nn1)c1ccccc1Cl,0.065975,mazzatorta
[O-][N+](=O)NC1=NCCN1Cc1ccc(nc1)Cl,0.066494,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(c(c1F)Cl)F,0.068222,mazzatorta
CCOc1ccc(cc1)C(COCc1cccc(c1)Oc1ccccc1)(C)C,0.069059,mazzatorta
COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccccc1Cl,0.069877,mazzatorta
CSc1nnc(c(=O)n1N)C(C)(C)C,0.069999,mazzatorta
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,0.071547,mazzatorta
CCN1CCN(CC1)c1cc2c(cc1F)c(=O)c(cn2C1CC1)C(=O)O,0.072344,mazzatorta
CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,0.073052,mazzatorta
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(c(c1)Cl)OC(C(OC(F)(F)F)F)(F)F,0.073066,mazzatorta
OC(C(C)(C)C)C(n1cncn1)Oc1ccc(cc1)c1ccccc1,0.074093,mazzatorta
CCCSc1ccc2c(c1)[nH]c(n2)NC(=O)OC,0.075377,mazzatorta
Cn1cc(c2cccc(c2)C(F)(F)F)c(=O)c(c1)c1ccccc1,0.075915,mazzatorta
Clc1ccc(cc1)CN(C(=O)Nc1ccccc1)C1CCCC1,0.076026,mazzatorta
CNC(=O)Oc1cccc2c1cccc2,0.077527,mazzatorta
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,0.077689,mazzatorta
CCSC(=O)N1CCCCCC1,0.07907,mazzatorta
CC(c1cc(ccc1O)C(c1ccc(c(c1)C(C)C)O)(C)C)C,0.080014,mazzatorta
C=CCC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)C=C(C)C,0.081016,mazzatorta
ClCCP(=O)(O)O,0.083048,mazzatorta
COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,0.083248,mazzatorta
CCCN(c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-])CCC,0.08393,mazzatorta
OC(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,0.084527,mazzatorta
O=C(C(C)(C)C)C(n1ncnc1)Oc1ccc(cc1)Cl,0.085107,mazzatorta
